ticker,n_obs_1m,n_obs_daily,mean_log_return_1m,std_log_return_1m,min_log_return_1m,max_log_return_1m,mean_log_return_1m_bps,std_log_return_1m_bps,min_log_return_1m_pct,max_log_return_1m_pct,mean_log_return_daily,std_log_return_daily,mean_log_return_daily_pct,std_log_return_daily_pct,ordinary_kurtosis_1m,excess_kurtosis_1m,log_ordinary_kurtosis_1m
ARDR,568800,395,-7.696095355399225e-07,0.0026756853000214817,-0.08811452106178752,0.09873484068568938,-0.007696095355399225,26.756853000214818,-8.811452106178752,9.873484068568938,-0.0011082377311774883,0.05982605211219077,-0.11082377311774884,5.982605211219076,72.6586709012253,69.6586709012253,4.285772734597477
MOVE,568800,395,-5.599686195059066e-06,0.002439245289114912,-0.1117039895800005,0.0837698830654583,-0.055996861950590664,24.392452891149123,-11.17039895800005,8.37698830654583,-0.008063548120885054,0.05665021763945838,-0.8063548120885053,5.665021763945838,45.314032081200665,42.314032081200665,3.8136167434904866
AWE,568800,395,-1.4973602637482202e-06,0.002490874240946401,-0.07033383499851364,0.13858341580318445,-0.014973602637482201,24.90874240946401,-7.0333834998513645,13.858341580318445,-0.002156198779797437,0.054870596598629764,-0.2156198779797437,5.487059659862976,55.68424791492229,52.68424791492229,4.019697304691582
XLM,568800,395,-8.933629894438888e-07,0.0017157932179068672,-0.04527522206198764,0.06226076842773143,-0.008933629894438888,17.157932179068673,-4.527522206198764,6.226076842773143,-0.0012864427047992,0.037497276297575065,-0.12864427047992,3.7497276297575066,12.721815706913716,9.721815706913716,2.5433182919792072
AXS,568800,395,-2.067661913898979e-06,0.0016706051161794664,-0.09015109699429757,0.06869529671909547,-0.02067661913898979,16.706051161794665,-9.015109699429757,6.869529671909547,-0.0029774331560145297,0.05765155084031124,-0.29774331560145295,5.765155084031124,88.98555369720067,85.98555369720067,4.488474038548165
SNT,568800,395,-1.739427368046248e-06,0.0023371031660903885,-0.05931657715641947,0.15873480028625098,-0.01739427368046248,23.371031660903885,-5.931657715641947,15.873480028625098,-0.002504775409986597,0.052989621125032596,-0.2504775409986597,5.2989621125032595,99.2796842716746,96.2796842716746,4.597940960710741
QTUM,568800,395,-1.9550423798536936e-06,0.0013619447518299617,-0.05322857076836307,0.06499160259163617,-0.019550423798536935,13.619447518299618,-5.322857076836307,6.499160259163617,-0.002815261026989319,0.0391928280710354,-0.2815261026989319,3.91928280710354,84.71676636555179,81.71676636555179,4.439313532075006
ANIME,568800,395,-3.0357981308609302e-06,0.002595347800120982,-0.17881892624275286,0.1310282624064043,-0.030357981308609304,25.95347800120982,-17.881892624275288,13.10282624064043,-0.00437154930843974,0.060796987965333324,-0.43715493084397394,6.079698796533332,95.2248057157885,92.2248057157885,4.556240472097829
PUNDIX,568800,395,-1.5555812232280894e-06,0.0018389738073394707,-0.1556773976810577,0.15955695790202107,-0.015555812232280895,18.389738073394707,-15.56773976810577,15.955695790202107,-0.002240036961448449,0.04769478018719946,-0.2240036961448449,4.769478018719946,284.87541174307944,281.87541174307944,5.652051932911287
ARK,568800,395,-1.5468756383005685e-06,0.0018976429900174276,-0.08672097478053153,0.07908310679383579,-0.015468756383005685,18.976429900174274,-8.672097478053153,7.908310679383579,-0.0022275009191528184,0.04396524299742789,-0.22275009191528183,4.396524299742789,93.94929841636137,90.94929841636137,4.5427552582037185
